TEP weekly prices
Date,Open,High,Low,Close,Adj Close,Volume
2023-12-11,117.500000,123.650002,115.849998,122.650002,122.650002,1497170
2023-12-18,122.150002,136.750000,121.500000,133.350006,133.350006,1023111
2023-12-25,133.350006,135.250000,126.449997,132.050003,132.050003,473335
2024-01-01,132.050003,134.250000,126.349998,130.050003,130.050003,531539
2024-01-08,129.850006,139.750000,125.349998,139.550003,139.550003,1031402
2024-01-15,138.149994,143.250000,127.750000,143.250000,143.250000,1072378
2024-01-22,145.000000,153.800003,141.149994,148.500000,148.500000,1381505
2024-01-29,148.000000,150.050003,139.300003,141.500000,141.500000,815899
2024-02-05,142.050003,145.649994,138.199997,138.449997,138.449997,615323
2024-02-12,139.000000,141.250000,138.550003,139.600006,139.600006,91656
