Montly prices
Date,Open,High,Low,Close,Adj Close,Volume
2017-01-01,95.300003,102.000000,95.300003,99.110001,91.103699,2492861
2017-02-01,99.209999,107.349998,99.209999,104.500000,96.058281,1844786
2017-03-01,101.000000,104.300003,96.169998,101.250000,93.070824,4025842
2017-04-01,101.599998,119.099998,100.099998,115.349998,106.031799,2502149
2017-05-01,115.349998,118.449997,108.500000,116.449997,107.042938,1947567
2017-06-01,116.650002,120.449997,110.750000,112.150002,103.090302,1900073
2017-07-01,111.349998,118.650002,108.949997,117.650002,108.146004,2515612
2017-08-01,118.199997,121.150002,111.900002,115.599998,107.507782,1641155
2017-09-01,115.800003,126.650002,115.250000,126.300003,117.458778,1964896
2017-10-01,126.500000,129.000000,119.500000,125.400002,116.621773,2834332
2017-11-01,125.750000,128.600006,119.199997,124.349998,115.645264,6685504
2017-12-01,124.800003,124.800003,116.599998,119.449997,111.088287,2981731
2018-01-01,119.449997,127.900002,118.000000,122.099998,113.552773,2470823
2018-02-01,122.500000,122.800003,111.000000,117.099998,108.902786,2801711
2018-03-01,120.900002,129.399994,117.199997,126.000000,117.179764,3347560
2018-04-01,126.000000,134.699997,121.000000,132.899994,123.596756,2428911
2018-05-01,132.899994,138.800003,132.500000,135.199997,127.566597,2466858
2018-06-01,134.899994,153.600006,134.800003,151.300003,142.757629,3939991
2018-07-01,151.100006,162.199997,149.600006,156.800003,147.947067,2930990
2018-08-01,155.699997,167.100006,155.699997,165.500000,156.155884,2590491
2018-09-01,165.600006,171.699997,159.399994,162.500000,153.325256,2569321
2018-10-01,162.800003,165.500000,141.100006,145.600006,137.379425,3673477
2018-11-01,146.600006,154.500000,135.600006,146.199997,137.945557,2718164
2018-12-01,149.000000,150.399994,133.199997,139.600006,131.718185,2076573
2019-01-01,139.600006,152.600006,133.699997,150.300003,141.814072,2596320
2019-02-01,151.300003,158.100006,149.300003,157.000000,148.135773,2284403
2019-03-01,158.199997,167.000000,156.199997,160.199997,151.155106,2921416
2019-04-01,161.100006,174.100006,161.100006,171.300003,161.628403,2537875
2019-05-01,171.300003,177.100006,159.800003,172.000000,162.288895,2822952
2019-06-01,171.300003,180.899994,167.100006,176.199997,168.199219,2510428
2019-07-01,177.300003,198.600006,171.399994,189.600006,180.990768,2820530
2019-08-01,189.600006,198.800003,181.899994,198.600006,189.582108,2449340
2019-09-01,197.899994,203.600006,184.300003,198.899994,189.868484,3009693
